id,Area,city_id,zone_id
892,Tatarpur,4,32
893,Inderlok,4,32
894,Zakhira,4,32
895,Anand Nagar,4,32
896,Tulsi Nagar,4,32
897,Najafgarh,4,33
898,Chhawla Camp,4,33
899,Jharoda Kalan,4,33
900,Roshanpura,4,33
901,Najafgarh Drain,4,33
902,Jai Vihar,4,33
903,Shyam Vihar,4,33
904,Sai Baba Mandir Najafgarh,4,33
905,Mitraon,4,33
906,Dhansa,4,33
907,Nangli Dairy,4,33
908,Bijwasan,4,58
909,Samalka,4,58
910,Kapashera,4,58
911,Fun N Food,4,58
912,Nangloi Jat,4,34
913,Prem Nagar Nangloi,4,34
914,Ranhaula,4,34
915,Nilothi,4,34
916,Nihal Vihar_Nangloi,4,34
917,Kamruddin Nagar,4,34
918,Adhyapak Nagar,4,34
919,Kanjhawla,4,34
920,Ghewra,4,34
921,Mundaka,4,34
922,Tikri Border,4,34
923,Bahadurgarh,4,34
924,Mayapuri,4,32
925,Hari Nagar,4,32
926,Jail Road,4,32
927,Deen Dayal Upadhyay Hospital,4,32
928,Anand Vihar Jail Road,4,32
929,"Fateh Nagar, New Delhi",4,32
930,Mayapuri Indl.Area Phase 1,4,32
931,Mayapuri Indl.Area Phase 2,4,32
932,Maya Enclave,4,32
933,Tihar Jail,4,32
934,Ashok Nagar_Mayapuri,4,32
935,Azadpur,4,42
936,Azadpur Subzi Mandi,4,42
937,Azadpur Indl.Area,4,42
938,Lal Bagh,4,42
939,Mahendru Enclave,4,42
940,Chhatrasal Stadium,4,42
941,Adarsh Nagar,4,42
942,Kewal Park,4,42
943,Gopal Nagar,4,42
944,Majlis Park,4,42
945,Mahendra Park,4,42
946,Panchwati,4,42
947,Jahangir Puri,4,42
948,Ram Garh,4,42
949,Metro Apts,4,42
950,Jahangirpuri Indl.Area,4,42
951,Babu Jagjivan Rao Hospital,4,42
952,Karnal By Pass,4,42
953,Sanjay Gandhi Transport Nagar,4,42
954,Bhalswa Dairy,4,42
955,Rajiv Nagar_Karnal By Pass,4,42
956,Swami Shradanand Park,4,42
957,Haiderpur,4,42
958,Samaipur Badli_Haiderpur,4,42
959,Prashant Vihar,4,42
960,Rohini Central Jail,4,42
961,Shalimar Palace,4,42
962,Gobind Mohalla,4,42
963,Bawana,4,41
964,Delhi College Of Engineering,4,41
965,Badli Industrial Area,4,41
966,Shahbad Daulatpur,4,41
967,Shahbad Dairy,4,41
968,Bawana Inds Area,4,41
969,Samaipur Badli_Bawana,4,41
970,Alipur,4,41
971,Narela,4,41
972,Siraspur,4,41
973,Pooth Kurd Gaon,4,41
974,Singhu Border,4,41
975,Lampur Border,4,41
976,Ashok Vihar Phase 1,4,42
977,Ashok Vihar Phase 2,4,42
978,Ashok Vihar Phase 3,4,42
979,Ashok Vihar Phase 4,4,42
980,Maujwala Bagh,4,42
981,Deep Enclave,4,42
982,Wazirpur Indl.Area,4,42
983,Wazirpur,4,42
984,Keshavpuram,4,42
985,Wazirpur Depot,4,42
986,Netaji Subhash Palace Metro Station,4,42
987,Lawrence Road,4,42
988,Tri Nagar,4,42
989,Kanhaiya Nagar,4,42
990,Ganesh Pura,4,42
991,Neemri Colony,4,42
992,Shastri Nagar,4,42
993,Gulabi Bagh,4,42
994,Daya Basti,4,42
995,Subhadra Colony,4,42
996,Andha Mugal,4,42
997,Pratap Nagar,4,42
998,Aram Ganj,4,42
999,Subzi Mandi Railway Station,4,42
1000,Rohini Sector 1,4,40
1001,Rohini Sector 2,4,40
1002,Rohini Sector 3,4,40
1003,Rohini Sector 4,4,40
1004,Rohini Sector 5,4,40
1005,Rohini Sector 6,4,40
1006,Rohini Sector 7,4,40
1007,Rohini Sector 8,4,40
1008,Rohini Sector 9,4,40
1009,Rohini Sector 10,4,40
1010,Rohini Sector 11,4,40
1011,Rohini Sector 12,4,40
1012,Rohini Sector 13,4,40
1013,Rohini Sector 14,4,40
1014,Rohini Sector 15,4,40
1015,Rohini Sector 16,4,40
1016,Rohini Sector 17,4,40
1017,Rohini Sector 18,4,40
1018,Rohini Sector 19,4,40
1019,Rohini Sector 20,4,40
1020,Rohini Sector 21,4,40
1021,Rohini Sector 22,4,40
1022,Rohini Sector 23,4,40
1023,Rohini Sector 24,4,40
1024,Rohini East Metro Station,4,40
1025,Rohini West Metro Station,4,40
1026,Rithala Metrio Station,4,40
1027,Madhuban Chowk,4,42
1028,Deepali Chowk,4,42
1029,Rajastali Apts,4,42
1030,Madhuban Appartments,4,42
1031,Vishakha Enclave,4,42
1032,Pitampura,4,42
1033,Dakshin Pitampura,4,42
1034,Uttari Pitampura,4,42
1035,Income Tax Colony,4,42
1036,Tv Tower Pitampura,4,42
1037,Poorvi Pitampura,4,42
1038,Maurya Enclave,4,42
1039,Vaishali Pitampura,4,42
1040,Kohat Enclave,4,42
1041,Vasudha Enclave,4,42
1042,Lok Vihar Pitam Pura,4,42
1043,Harsh Vihar,4,42
1044,Sandesh Vihar,4,42
1045,Isbt Kashmiri Gate,4,47
1046,Tees Hazari Court,4,47
1047,Mori Gate,4,47
1048,Boulvard Road,4,47
1049,Oberoi Meidens Hotel,4,47
1050,Old Gpo,4,47
1051,Bara Hindu Rao Hospital,4,47
1052,Civil Lines,4,47
1053,Rajpura Road,4,47
1054,Gujrati Samaj,4,47
1055,Under Hill Road,4,47
1056,Ip College,4,47
1057,Khyber Pass,4,47
1058,Vidhan Sabha,4,47
1059,Ludlow Castle,4,47
1060,St Stephen Hospital,4,47
1061,Shamnath Marg,4,47
1062,Kingsway Camp,4,42
1063,Mall Road,4,42
1064,Timarpur,4,42
1065,Banarsi Das Estate,4,42
1066,Dhaka Colony,4,42
1067,Model Town,4,42
1068,Gtb Nagar,4,42
1069,Naini Lake,4,42
1070,Outram Lines,4,42
1071,Haqiqat Nagar,4,42
1072,Tagore Park,4,42
1073,Gujrawala Town,4,42
1074,Mukherjee Nagar,4,42
1075,Batra Cinema,4,42
1076,Derawal Nagar,4,42
1077,Delhi University North Campus,4,42
1078,Delhi University Metro Station,4,42
1079,Sarup Nagar,4,42
1080,Ramjas College,4,42
1081,Daulatram College,4,42
1082,Miranda House,4,42
1083,St. Stephen College,4,42
1084,Patel Chest,4,42
1085,Roop Nagar,4,42
1086,Kamla Nagar,4,42
1087,Malka Ganj,4,42
1088,Shakti Nagar,4,42
1089,Kirorimal College,4,42
1090,Hindu College,4,42
1091,Prem Nagar,4,42
1092,Hans Raj College,4,42
1093,Gurudwara Nanak Piou,4,42
1094,Priyadarshini Vihar,4,42
1095,Dtc Colony,4,42
1096,Satyawati Nagar,4,42
1097,Sangam Park,4,42
1098,Vijay Nagar_Maurice Nagar,4,42
1099,Maurice Nagar,4,42
1100,Rana Pratap Bagh,4,42
1101,Old Gupta Colony_Maurice Nagar,4,42
1102,Dvb Colony,4,42
1103,New Gupta Colony_Maurice Nagar,4,42
1104,Kalyan Vihar,4,42
1105,Sultan Puri,4,35
1106,Mangolpuri Inds Area 1,4,35
1107,Mangolpuri Inds Area 2,4,35
1108,Police Line Colony,4,35
1109,Harijan Colony,4,35
1110,Budh Vihar,4,35
1111,Kirari Village,4,35
1112,Rani Bagh,4,42
1113,Sainik Vihar,4,42
1114,Saraswati Vihar_Rani Bagh,4,42
1115,Shakurpur,4,42
1116,Anand Vihar Rani Bagh,4,42
1117,Rishi Nagar,4,42
1118,Shakur Basti,4,42
1119,Shakurpur  Railway Colony,4,42
1120,Shakti Vihar,4,42
1121,Sharda Niketan,4,42
1122,West Enclave,4,42
1123,Shubh Enclave,4,42
1124,Pushpanjali Pitampura,4,42
1125,Wazirabad,4,42
1126,Sant Nagar Burari,4,42
1127,Burari,4,41
1128,Majnu Ka Tila,4,44
1129,Nirankari Satsang,4,41
1130,Budh Vihar Majnu Ka Tila,4,41
1131,Mayur Vihar Phase 1,4,46
1132,Mayur Vihar Phase 2,4,46
1133,Mayur Vihar Phase 3,4,46
1134,Trilok Puri,4,46
1135,Kalyanpuri,4,46
1136,Himmat Puri,4,46
1137,Vinod Nagar East,4,46
1138,Khichripur,4,46
1139,Vasundhra Enclave,4,66
1140,Kondli,4,66
1141,Dharamshila Cancer Hospital,4,66
1142,Chilla Sports Complex,4,66
1143,Gharoli Village,4,66
1144,New Ashok Nagar,4,66
1145,Dallupura,4,66
1146,Ghazipur,4,66
1147,Anand Vihar,4,45
1148,Anand Vihar Isbt,4,45
1149,Vivek Vihar,4,45
1150,Yojna Vihar,4,45
1151,Savita Vihar,4,45
1152,Shrestha Vihar,4,45
1153,Jagriti Enclave,4,45
1154,Vigyan Lok,4,45
1155,Railway Colony,4,45
1156,Bahubali Enclave,4,45
1157,Edm Mall,4,45
1158,Patparganj,4,45
1159,Preet Vihar,4,45
1160,Surajmal Vihar,4,45
1161,Dayanand Vihar,4,45
1162,"Jhilmil, Dilshad Garden",4,44
1163,Karkarduma,4,45
1164,Vigyan Vihar,4,45
1165,Hargobind Enclave,4,45
1166,Nirman Vihar,4,45
1167,Jagatpuri,4,45
1168,Madhuban,4,45
1169,V3S Mall,4,45
1170,Ip Extension,4,45
1171,Mother Dairy,4,45
1172,Shakarpur,4,45
1173,Laxmi Nagar,4,45
1174,Vinod Nagar West,4,45
1175,"Mandaoli, Indraprastha Extension",4,45
1176,Guru Anagad Nagar,4,45
1177,Seemapuri Border,4,67
1178,Seemapuri Depot,4,67
1179,New Seempuri,4,67
1180,Dilshad Garden Metro Station,4,44
1181,Dilshad Garden,4,44
1182,Dilshad Colony,4,44
1183,Gtb Hospital,4,44
1184,Gagan Cinema,4,44
1185,Nand Nagri,4,44
1186,Shahdra,4,45
1187,Shahdra Metro Station,4,45
1188,Naveen Shahdra,4,45
1189,Sunder Park,4,45
1190,Ambedkar Nagar,4,45
1191,Bihari Colony,4,45
1192,Jwala Nagar,4,45
1193,Shyamlal College,4,45
1194,Kabul Nagar,4,45
1195,Vishwas Nagar,4,45
1196,Balbir Nagar,4,45
1197,Rohtas Nagar,4,45
1198,Dwarkapuri,4,45
1199,Gokulpuri,4,45
1200,Gorakh Park,4,45
1201,Welcome,4,44
1202,Seelampur,4,44
1203,Jaffrabad,4,44
1204,Mauj Pur,4,44
1205,Chajjupur,4,44
1206,Subhash Nagar_Welcome,4,44
1207,Welcome Metro Station,4,44
1208,Gautam Puri,4,44
1209,Brahampuri,4,44
1210,Geeta Colony,4,45
1211,Shastri Park,4,45
1212,"Krishna Nagar, New Delhi",4,45
1213,Jagat Puri,4,45
1214,Kailash Nagar,4,45
1215,Guru Ram Das Nagar,4,45
1216,Rajgarh,4,45
1217,Subhash Mohalla,4,45
1218,Shastri Nagar_Shastri Park,4,45
1219,Bank Enclave,4,45
1220,Gandhi Nagar_Shastri Park,4,45
1221,Jheel Khureji,4,45
1222,Yamuna Vihar,4,44
1223,Brijpuri,4,44
1224,Khajuri Khas,4,44
1225,Bhajanpura,4,44
1226,Soniya Vihar,4,44
1227,Ashok Nagar_Yamuna Vihar,4,44
1228,Gamri,4,44
1229,Rajiv Nagar_Yamuna Vihar,4,44
1230,New Usman Pur,4,44
1231,Karawal Nagar,4,44
1232,Mustafabad,4,44
1233,Ram Vihar,4,44
1234,Akshardham Mandir,4,46
1235,Akshardham Metro Station,4,46
1236,Yamuna Bank Metro Station,4,46
1237,Pandav Nagar,4,46
1238,Ganesh Nagar_Akshardham,4,46
1239,Gurgaon Dlf Phase 2,4,60
1240,Gurgaon Dlf Phase 3,4,60
1241,Garden Estate,4,60
1242,Beverly Park 1,4,60
1243,Dlf Cyber Greens,4,60
1244,Belvedre Park,4,60
1245,"Microsoft, Gurgaon",4,60
1246,Belvedre Tower,4,60
1247,Infinity Tower,4,60
1248,Erricson,4,60
1249,Nestle India,4,60
1250,Jacranda Marg,4,60
1251,Pepsico Office,4,60
1252,Dlf Square,4,60
1253,Dlf Corporate Park,4,60
1254,Neelkanth Hospital,4,60
1255,Lamba Guest House,4,60
1256,Nathupur,4,60
1257,Cyberr City,4,60
1258,Convergys Dlf 2,4,60
1259,Heritage City,4,60
1260,Princeton Estate,4,60
1261,Gurgaon Dlf Phase 5,4,60
1262,American Express,4,60
1263,Gurgaon Sector 43_Gurgaon Dlf Phase 5,4,60
1264,Gurgaon Sector 42,4,60
1265,Ibis Hotel,4,60
1266,Dlf Golf Course,4,60
1267,Welington Estate,4,60
1268,Carlton Estate,4,60
1269,Trinity Towers,4,60
1270,Gurgaon Sector 27,4,60
1271,Gurgaon Sector 28,4,60
1272,Regency Park  2,4,60
1273,Sushant Lok A,4,60
1274,Dlf Gymkhana Club,4,60
1275,Sushant Lok B,4,60
1276,Chakarpur_Gurgaon Dlf Phase 4,4,60
1277,Windsor Court,4,60
1278,Power Grids,4,60
1279,Galleria,4,60
1280,Ridgewood Estate,4,60
1281,Gurgaon Dlf Phase 4,4,60
1282,Millenium Plaza,4,60
1283,Park Plaza,4,60
1284,Radisson Suites,4,60
1285,Supermart,4,60
1286,Hamilton Court,4,60
1287,32Nd Mile Stone,4,61
1288,South City 1,4,61
1289,Jalvayu Vihar_South City 1,4,61
1290,Silo Khera,4,61
1291,Lemon Tree South City,4,61
1292,Crown Plaza Ggn,4,61
1293,South City Country Club,4,61
1294,Gurgaon Sector 30,4,61
1295,Uniworld City,4,61
1296,Gurgaon Sector 41,4,61
1297,Unitech Business Park,4,61
1298,Gurgaon Sector 39,4,61
1299,Gurgaon Sector 40,4,61
1300,Ranbaxy_Gurgaon Jharsa,4,61
1301,Mohyal Colony,4,61
1302,Gurgaon Sector 31,4,61
1303,Gurgaon Sector 32,4,61
1304,Gurgaon Sector 38,4,61
1305,Islampur,4,61
1306,Mayfield Garden,4,61
1307,Gurgaon Sector 47,4,61
1308,Gurgaon Sector 51,4,61
1309,Gurgaon Sector 48,4,61
1310,Samaspur,4,61
1311,Green Woods City,4,61
1312,Gurgaon Sector 46,4,61
1313,Gurgaon Sector 45,4,61
1314,Huda Colony,4,61
1315,Vista Villas,4,61
1316,Residency Green,4,61
1317,Kanhai,4,61
1318,Gurgaon Sector 44,4,61
1319,Naya Gaon,4,61
1320,Apparel House,4,61
1321,Ardee City,4,61
1322,Gurgaon Sector 52,4,61
1323,Bindapur Jarsa,4,61
1324,Koyal Vihar,4,61
1325,Ardee Club,4,61
1326,Sushant Estate,4,61
1327,Artemis Hospital,4,61
1328,Paras Downtown,4,61
1329,Gurgaon Sector 43_Paras Downtown,4,61
1330,Gurgaon Sector 53,4,61
1331,Suncity,4,61
1332,Gurgaon Sector 54,4,61
1333,Gurgaon Jalvayu Tower,4,61
1334,Rail Vihar_Gurgaon,4,61
1335,Gurgaon Sector 56,4,61
1336,Gurgaon Sector 57,4,61
1337,Kendriya Vihar_Gurgaon,4,61
1338,Gurgaon Sector 55,4,61
1339,Maruti Housing Colony,4,60
1340,Chakarpur_Gurgaon Dlf Phase 1,4,60
1341,Saraswati Vihar_Gurgaon,4,60
1342,Beverly Park 2,4,60
1343,Ggn Dlf Phase 1,4,60
1344,Qutub Plaza,4,60
1345,Silver Oak Apartments,4,60
1346,Dlf Mega Mall,4,60
1347,Vatika Triangle,4,60
1348,Fortune,4,60
1349,Global Business Park,4,60
1350,Bristol Hotel,4,60
1351,Sikandarpur,4,60
1352,Gymkhana Club,4,60
1353,Sahara Mall,4,60
1354,Dt Mega Mall,4,60
1355,Lifestyle Mall,4,60
1356,City Centre,4,60
1357,Jmd Mall,4,60
1358,Dlf Grand Mall,4,60
1359,"MGF Metropolitan, Mehrauli Gurgaon Marg",4,60
1360,Sushant Lok C Block,4,60
1361,Sushant Lok D Block,4,60
1362,Richmond Park,4,60
1363,Maple Heights,4,60
1364,Regency Park,4,60
1365,God Souk Mall,4,60
1366,Iffco Chowk,4,60
1367,Iffco Colony,4,60
1368,Gurgaon Sector 17,4,60
1369,"management development institute(MDI), gurgaon",4,59
1370,Signature Tower,4,60
1371,Sukhrali Chowk,4,60
1372,Ambience Mall,4,60
1373,Ambience Island,4,60
1374,National Media Centre,4,60
1375,Shankar Chowk,4,60
1376,Sector 25A,4,60
1377,Leela Kempeinski Hotel,4,60
1378,Udyog Vihar Phase 1,4,59
1379,Dundahera,4,59
1380,Surya Vihar,4,59
1381,Ggn Sector 20,4,59
1382,Ggn Sector 21,4,59
1383,Delphi,4,59
1384,Udyog Vihar Phase 2,4,59
1385,Udyog Vihar Phase 3,4,59
1386,Ggn Sector 19,4,59
1387,Trident Hilton Hotel,4,59
1388,Lemon Tree Hotel,4,59
1389,Maruti Udyog,4,59
1390,Ggn Sector 18,4,59
1391,Udyog Vihar Phase 4,4,59
1392,Udyog Vihar Phase 5,4,59
1393,Serco,4,59
1394,Hcl,4,59
1395,Daksh,4,59
1396,Sbi Academy,4,59
1397,Ge Capital,4,59
1398,Rajiv Gandhi Chowk_Gurgaon,4,61
1399,Rajiv Nagar,4,61
1400,Gurgaon Sector 33,4,61
1401,Wireless Colony,4,61
1402,Gurgaon Civil Court,4,61
1403,Shivaji Nagar,4,61
1404,Hans Enclave,4,61
1405,Tau Devilal Cricket Stadium,4,61
1406,Gurgaon Sector 34,4,61
1407,Hero Honda Chowk,4,61
1408,Ranbaxy_Gurgaon Sector 34,4,61
1409,Naharpur,4,61
1410,Informational Technology Park,4,61
1411,Amex,4,61
1412,Gurgaon Sector 10,4,62
1413,Khandsa,4,62
1414,Gurgaon Sector 37 Part 1,4,62
1415,Gurgaon Sector 37 Part 2,4,62
1416,Udyog Vihar Phase 6,4,62
1417,Model Town_Gurgaon,4,62
1418,Gurgaon Sector 8,4,62
1419,Kadipur,4,62
1420,Ioc Colony,4,62
1421,Gurgaon Sector 10 A,4,62
1422,"Krishna Nagar, Sector 10, Gurgaon",4,62
1423,Gurgaon Sector 4,4,62
1424,Gurgaon Sector 4 -Gurgaon Sector 7,4,62
1425,Gurgaon Sector 9,4,62
1426,Gurgaon Sector 9A,4,62
1427,Feroz Gandhi Colony_Gurgaon,4,62
1428,Devilal Colony,4,62
1429,Acharya Puri,4,62
1430,Jyoti Park,4,62
1431,Gurgaon Sector 5,4,62
1432,Gurgaon Sector 6,4,62
1433,Gurgaon Sector 3,4,62
1434,Gurgaon Masani,4,62
1435,Dayanand Colony_Gurgaon Sector 4,4,62
1436,Gurgaon Sector 14,4,62
1437,Gurgaon Sector 12,4,62
1438,Gurgaon Sector 13,4,62
1439,Gurgaon Sector 14Subhash Nagar Ggn,4,62
1440,Gurgaon Sector 15 I,4,62
1441,Gurgaon Sector 15 II,4,62
1442,Shakti Apts,4,62
1443,Rail Vihar S-15,4,62
1444,Jacombpura,4,62
1445,Pacific Square,4,62
1446,Palam Vihar,4,59
1447,New Palam Vihar,4,59
1448,Vishnu Garden Ggn,4,59
1449,Surat Nagar,4,59
1450,Palam Vyapar Kendra,4,59
1451,Ashok Vihar Phase 1 Ggn,4,59
1452,Ashok Vihar Phase 2 Ggn,4,59
1453,South City-2,4,61
1454,Omax Mall,4,61
1455,Uniworld Garden,4,61
1456,Eldeco Mansion,4,61
1457,Gurgaon Sector 50,4,61
1458,Nirwana Country Club,4,61
1459,Park View City1,4,61
1460,Vipul Green,4,61
1461,Park View City 2,4,61
1462,Universal Trade Tower,4,61
1463,Omaxe Nile,4,61
1464,Gurgaon Sector 21,4,59
1465,Gurgaon Sector 22,4,59
1466,Gurgaon Sector 23,4,59
1467,Gurgaon Railway Station,4,62
1468,Gurgaon Bus Stand,4,62
1469,"Mianwali Nagar, Paschim Vihar",4,37
1470,New Colony,4,62
1471,Shivpuri,4,62
1472,Gwal Pahari,4,55
1473,Valley View Estate,4,55
1474,Gurgaon Faridabad Road,4,55
1475,Teri Retreat,4,55
1476,Manesar,4,62
1477,Imt Manesar,4,62
1478,Apno Ghar,4,62
1479,Haldi Ram,4,62
1480,Gurgaon Sector 35,4,62
1481,Heritage Village,4,62
1482,Connaught Place,4,47
1483,Rajiv Chowk,4,47
1484,Inner Circle,4,47
1485,Middle Circle,4,47
1486,Outer Circle,4,47
1487,Connaught Circus,4,47
1488,Palika Bazar,4,47
1489,Pvr Plaza,4,47
1490,Odeon Cinema,4,47
1491,Plaza Hotel,4,47
1492,Marina Hotel,4,47
1493,Intercontinental The  Grand,4,47
1494,Scindia House,4,47
1495,Nirula Hotel,4,47
1496,Regal Building,4,47
1497,Jukaso Inn,4,47
1498,Connaught Hotel,4,47
1499,Shivaji Stadium,4,47
1500,Barakhamaba Metro Station,4,48
1501,Barakhamba Road,4,48
1502,Statesman House,4,48
1503,Gopal Das Bhawan,4,48
1504,The Lalit Hotel,4,47
1505,Vidyut Bhawan_Barakhamaba Metro Station,4,48
1506,Hailey Road,4,48
1507,Delhi Fire Service Head Quarter,4,48
1508,Hindustan Times Office,4,48
1509,Kg Marg,4,48
1510,Hans Plaza,4,48
1511,Jantar Mantar,4,48
1512,Hanuman Mandir,4,48
1513,Janpath Bhavan,4,48
1514,Rivoli,4,48
1515,Janpath,4,48
1516,Mandi House,4,48
1517,Himachal Bhawan,4,48
1518,Bhawalpur House,4,48
1519,Punjab Bhawan,4,48
1520,Nabha House,4,48
1521,Sarojini House,4,48
1522,Ficci Building,4,48
1523,Doordarshan Bhawan,4,48
1524,Nilgiri Apts,4,48
1525,Banga Bhawan,4,48
1526,Maharastra Sadan,4,48
1527,Haryana Bhawan,4,48
1528,Copernicus Marg,4,48
1529,India Gate,4,48
1530,August Kranti Maidan,4,48
1531,Rajpath,4,48
1532,Patiala House,4,48
1533,Dholpur House,4,48
1534,National Stadium,4,48
1535,Hyderabad House,4,48
1536,Upsc,4,48
1537,Pandara Park,4,48
1538,Pandara Road,4,48
1539,Jaipur House,4,48
1540,High Court,4,48
1541,Children'S Park,4,48
1542,Bikaner House,4,48
1543,Pragati Maidan,4,48
1544,Pragati Maidan Metro Station,4,48
1545,Supreme Court,4,48
1546,National Sports Club Of India,4,48
1547,Who,4,48
1548,Appu Ghar,4,48
1549,Sunder Nagar,4,48
1550,Bapa Nagar,4,48
1551,Kaka Nagar,4,48
1552,Zoo,4,48
1553,Golf Course,4,48
1554,Golf Links,4,48
1555,Ambasdor Hotel_Sunder Nagar,4,48
1556,Jukaso Inn Sunder Nagar,4,48
1557,Dr Zakir Hussain Marg,4,48
1558,Oberoi Hotel,4,48
1559,Hazrat Nizamuddin Railway Station,4,51
1560,Humayun Tomb,4,51
1561,Nizamuddin East,4,51
1562,Sarai Kale Khan,4,51
1563,Nizamuddin West,4,51
1564,Hazrat Nizammudin Aulia Dargah,4,51
1565,Windsor Place,4,48
1566,Rail Bhawan_Windsor Place,4,48
1567,Max Muller,4,48
1568,Palika Sadan,4,48
1569,Le Meridien Hotel,4,48
1570,Khursidlal Bhawan,4,48
1571,Curzon Road,4,48
1572,Indra Gandhi National Centre For Arts,4,48
